index	headword	reading	expected_sentence	word_transcript	w_score	sentence_transcript	s_score	match_method	whisper_conf	chunk_count	track	note
101	好む	このむ	一般にお年寄りはあっさりした味を好む。	一般に	0.00	落としよりはさりした味を好む	0.61	whisper	0.7179	0	08 1-08.mp3	
102	嫌う	きらう	彼女は彼を嫌っているようだ。	キラウ	0.40	彼女は彼を嫌っているようだ	0.96	whisper	0.9200	0	08 1-08.mp3	
103	願う	ねがう	世界平和を願う。	ネガウ	0.40	世界平和を願う	0.93	whisper	0.9200	0	08 1-08.mp3	
104	甘える	あまえる	子どもが母親に甘える。	甘える	1.00	子供が母親に甘える	0.80	whisper	0.9429	0	08 1-08.mp3	
105	かわいがる	かわいがる	息子は妹をとてもかわいがっている。	かわいがある	0.91	息子は妹をとても可愛がっている	0.81	whisper	0.9636	0	08 1-08.mp3	
106	気付く <気が付く>	きづく	犯人は刑事に気付いて逃げてしまった。	反忍は	0.00	ケージに気づいて握れてしまった	0.56	whisper	0.8333	0	08 1-08.mp3	
107	疑う	うたがう	警察は私を犯人ではないかと疑っているらしい。	疑う	1.00	警察は私を犯人ではないかと疑っているらしい	0.98	whisper	0.9200	0	08 1-08.mp3	
108	苦しむ	くるしむ	学校でいじめられて苦しんでいる子どもが大勢いる。	クルシム	0.57	学校でいじめられて苦しんでいる子どもが応勢いる	0.94	whisper	0.9179	0	08 1-08.mp3	
109	悲しむ	なしむ	娘はペットの死を悲しんで、1 日中泣いていた。	話しむ	0.67	娘はペットの仕を悲しんで一日充泣いていた	0.83	whisper	0.8857	0	08 1-08.mp3	
110	がっかりする	がっかりする	試験に落ちて、がっかりした。	ガッカリする試験に落ちてガッカリした	0.50	試験に落ちてガッカリした	0.96	whisper	0.9692	0	08 1-08.mp3	
111	励ます	はげます	受験に失敗した友人を励ました。	ハンゲーマス	0.50	受験に失敗した友人をはげました	0.87	whisper	0.7419	0	08 1-08.mp3	
112	うなずく	うなずく	祖父は何も言わずにうなずいた。	うなずく	1.00	ソフは、何も言わずにうなずいた。	0.87	whisper	0.8756	0	08 1-08.mp3	
113	張り切る	はりきる	入社第一日目、娘は張り切って出勤した。	張り切る	1.00	ニューシャ第1日目、娘は張り切って出勤した。	0.79	whisper	0.8292	0	08 1-08.mp3	
114	威張る	いばる	自分ができるからといって、すぐにいばる人は嫌われる。	自分ができるからといって	0.13	すぐにイバル人は嫌われる	0.65	whisper	1.0000	0	08 1-08.mp3	
115	怒鳴る	どなる	「そんなに大声でどならなくても聞こえますよ」	ドナル	0.33	そんなに応援でどならなくても聞こえますよあばれる音音は気が短く	0.71	first_rest_split	0.0000	4	08 1-08.mp3	
116	暴れる	あばれる	弟は気が短く、子どものころはすぐに暴れて、よく物を壊したものだ。	子供の頃はすぐに暴れて	0.29	よく物を壊したものだ。	0.54	whisper	0.7857	0	08 1-08.mp3	
117	しゃがむ	しゃがむ	子どもが道にしゃがんで地面の虫を見ている。	香味	0.00	子供が道にしゃがんで 地面の虫を見ている	0.90	whisper	0.9400	0	09 1-09.mp3	
