Track: 35 1-35.mp3
Entries: 3 (indices 473-475)
Cache: output\whisper_cache\unit5_track_35_large_v3_turbo_wcpp_segments.json and output\whisper_cache\unit5_track_35_large_v3_turbo_wcpp_transcript.txt

[1/4] Transcribing track with Whisper...
  Detected 193 segments

[2/4] Detecting silence boundaries...
  Found 30 speech regions, 63 silence boundaries

[3/4] Building LLM prompt for matching...

================================================================================
Align the audio track `35 1-35.mp3` to these vocabulary entries.

## Whisper segments (detected by full-track transcription)
  [  0.00-  0.61] サ
  [  0.61-  0.74] イ
  [  0.74-  0.93] ン
  [  0.93-  1.55] 契
  [  1.55-  1.86] 約
  [  1.86-  1.98] 書
  [  1.98-  2.17] に
  [  2.17-  2.48] サ
  [  2.48-  3.09] イ
  [  3.09-  3.11] ン
  [  3.11-  3.41] を
  [  3.41-  4.03] する
  [  4.03-  4.98] ス
  [  4.98-  4.98] ター
  [  4.98-  5.29] 映
  [  5.29-  5.83] 画
  [  5.83-  5.91] が
  [  5.91-  6.22] ヒ
  [  6.22-  7.06] ット
  [  7.06-  7.16] し
  [  7.16-  7.47] 主
  [  7.47-  7.78] 演
  [  7.78-  8.09] 俳
  [  8.09-  8.53] 優
  [  8.53-  8.71] は
  [  8.71-  9.02] た
  [  9.02-  9.33] ち
  [  9.33-  9.88] ま
  [  9.88-  9.95] ち
  [  9.95- 10.58] 世界
  [ 10.58- 10.91] 的
  [ 10.91- 11.20] な
  [ 11.20- 11.51] ス
  [ 11.51- 12.77] ター
  [ 12.77- 12.77] にな
  [ 12.77- 13.71] った
  [ 13.71- 13.83] ア
  [ 13.83- 14.02] ン
  [ 14.02- 14.33] コ
  [ 14.33- 14.95] ール
  [ 15.17- 15.32] 観
  [ 15.32- 15.58] 客
  [ 15.58- 15.89] の
  [ 15.89- 16.20] ア
  [ 16.20- 16.51] ン
  [ 16.51- 16.82] コ
  [ 16.82- 17.55] ール
  [ 17.55- 17.76] に
  [ 17.76- 18.07] 答
  [ 18.07- 18.69] えて
  [ 18.69- 19.01] 出
  [ 19.01- 19.32] 演
  [ 19.32- 19.94] 者
  [ 19.94- 19.94] が
  [ 19.94- 20.25] 舞
  [ 20.25- 20.56] 台
  [ 20.56- 20.87] で
  [ 20.87- 21.32] 挨
  [ 21.32- 21.48] 拶
  [ 21.48- 22.43] した
  [ 22.43- 22.50] モ
  [ 22.50- 22.74] デ
  [ 22.74- 23.05] ル
  [ 23.26- 23.49] 彼
  [ 23.49- 23.68] 女
  [ 23.68- 23.98] は
  [ 23.98- 24.29] フ
  [ 24.29- 24.59] ァ
  [ 24.59- 24.91] ッ
  [ 24.91- 25.52] ショ
  [ 25.52- 25.85] ン
  [ 25.85- 26.79] ショ
  [ 26.79- 26.89] ー
  [ 26.89- 27.10] の
  [ 27.10- 27.41] モ
  [ 27.41- 28.03] デ
  [ 28.03- 28.21] ル
  [ 28.21- 28.34] を
  [ 28.34- 28.97] して
  [ 28.97- 30.00] いる
  [ 30.00- 30.50] 料
  [ 30.50- 30.66] 理
